id,title,key
1,全季酒店厦门机场成功大道店,b'\xe6\x88\x90\xe5\x8a\x9f \xe5\xa4\xa7\xe9\x81\x93 \xe5\xb9\xb2\xe5\x87\x80 \xe9\x85\x92\xe5\xba\x97 \xe6\x9c\x8d\xe5\x8a\xa1 \xe6\x9c\xba\xe5\x9c\xba \xe6\x88\xbf\xe9\x97\xb4 \xe4\xb8\x8d\xe9\x94\x99 \xe7\x8e\xaf\xe5\xa2\x83 \xe7\x82\xb9\xe8\xaf\x84'
2,厦门中山印象酒店,b'\xe6\xaf\x94\xe8\xbe\x83 \xe9\x85\x92\xe5\xba\x97 \xe5\x9c\xb0\xe7\x90\x86\xe4\xbd\x8d\xe7\xbd\xae \xe7\x89\xb9\xe5\x88\xab \xe4\xbd\x8d\xe7\xbd\xae \xe6\x96\xb9\xe4\xbe\xbf \xe4\xb8\x8d\xe9\x94\x99 \xe4\xbc\x98\xe5\x8a\xbf \xe5\x89\x8d\xe5\x8f\xb0 \xe5\x8d\xb0\xe8\xb1\xa1'
3,厦门五缘湾凯悦酒店,b'\xe7\xbc\x98\xe6\xb9\xbe \xe9\x85\x92\xe5\xba\x97 \xe6\x9c\x8d\xe5\x8a\xa1 \xe4\xb8\x8d\xe9\x94\x99 \xe7\x8e\xaf\xe5\xa2\x83 \xe6\x88\xbf\xe9\x97\xb4 \xe7\x82\xb9\xe8\xaf\x84 \xe6\x96\xb9\xe4\xbe\xbf \xe8\xae\xbe\xe6\x96\xbd \xe4\xbd\x8d\xe7\xbd\xae'
4,厦门圣希罗酒店,b'\xe4\xb8\x8d\xe9\x94\x99 \xe6\x9c\x8d\xe5\x8a\xa1 \xe9\x85\x92\xe5\xba\x97 \xe7\x8e\xaf\xe5\xa2\x83 \xe6\x88\xbf\xe9\x97\xb4 \xe6\x97\xa9\xe9\xa4\x90 \xe7\x82\xb9\xe8\xaf\x84 \xe5\xb9\xb2\xe5\x87\x80 \xe4\xba\xa4\xe9\x80\x9a \xe6\x84\x9f\xe8\xa7\x89'
5,厦门宾馆,b'\xe6\x9c\x8d\xe5\x8a\xa1 \xe4\xb8\x8d\xe9\x94\x99 \xe7\x8e\xaf\xe5\xa2\x83 \xe9\x85\x92\xe5\xba\x97 \xe6\x97\xa9\xe9\xa4\x90 \xe5\xae\xbe\xe9\xa6\x86 \xe6\x88\xbf\xe9\x97\xb4 \xe6\x96\xb9\xe4\xbe\xbf \xe4\xbd\x8d\xe7\xbd\xae \xe5\xb9\xb2\xe5\x87\x80'
6,厦门毕思特酒店,b'\xe4\xb8\x8d\xe9\x94\x99 \xe9\x85\x92\xe5\xba\x97 \xe6\x88\xbf\xe9\x97\xb4 \xe7\x8e\xaf\xe5\xa2\x83 \xe6\x96\xb9\xe4\xbe\xbf \xe4\xbd\x8d\xe7\xbd\xae \xe6\x9c\x8d\xe5\x8a\xa1 \xe6\x97\xa9\xe9\xa4\x90 \xe5\x9c\xb0\xe7\x90\x86\xe4\xbd\x8d\xe7\xbd\xae \xe7\x82\xb9\xe8\xaf\x84'
7,厦门永丽达花园酒店,b'\xe4\xb8\x8d\xe9\x94\x99 \xe9\x85\x92\xe5\xba\x97 \xe6\x97\xa9\xe9\xa4\x90 \xe8\x8a\xb1\xe5\x9b\xad\xe9\x85\x92\xe5\xba\x97 \xe7\x8e\xaf\xe5\xa2\x83 \xe6\x88\xbf\xe9\x97\xb4 \xe6\x9c\x8d\xe5\x8a\xa1 \xe5\xb9\xb2\xe5\x87\x80 \xe4\xbd\x8d\xe7\xbd\xae \xe6\x96\xb9\xe4\xbe\xbf'
8,厦门泰谷酒店,b'\xe4\xb8\x8d\xe9\x94\x99 \xe9\x85\x92\xe5\xba\x97 \xe7\x8e\xaf\xe5\xa2\x83 \xe6\x9c\x8d\xe5\x8a\xa1 \xe6\x88\xbf\xe9\x97\xb4 \xe7\x82\xb9\xe8\xaf\x84 \xe4\xbd\x8d\xe7\xbd\xae \xe6\x96\xb9\xe4\xbe\xbf \xe5\xb9\xb2\xe5\x87\x80 \xe5\x9c\xb0\xe7\x90\x86\xe4\xbd\x8d\xe7\xbd\xae'
9,厦门海悦山庄酒店,b'\xe9\x85\x92\xe5\xba\x97 \xe7\x8e\xaf\xe5\xa2\x83 \xe6\x9c\x8d\xe5\x8a\xa1 \xe4\xb8\x8d\xe9\x94\x99 \xe6\xb3\xb3\xe6\xb1\xa0 \xe7\x82\xb9\xe8\xaf\x84 \xe6\x88\xbf\xe9\x97\xb4 \xe8\xae\xbe\xe6\x96\xbd \xe5\xba\xa6\xe5\x81\x87 \xe6\x97\xa9\xe9\xa4\x90'
10,厦门漫城花海客栈,b'\xe8\x80\x81\xe6\x9d\xbf \xe4\xb8\x8d\xe9\x94\x99 \xe6\x88\xbf\xe9\x97\xb4 \xe5\xae\xa2\xe6\xa0\x88 \xe7\x8e\xaf\xe5\xa2\x83 \xe5\xb9\xb2\xe5\x87\x80 \xe6\x9c\x8d\xe5\x8a\xa1 \xe7\x83\xad\xe6\x83\x85 \xe9\xa3\x8e\xe6\xa0\xbc \xe6\x96\xb9\xe4\xbe\xbf'
11,厦门瑞颐大酒店,b'\xe4\xb8\x8d\xe9\x94\x99 \xe7\x8e\xaf\xe5\xa2\x83 \xe5\xa4\xa7\xe9\x85\x92\xe5\xba\x97 \xe9\x85\x92\xe5\xba\x97 \xe6\x9c\x8d\xe5\x8a\xa1 \xe6\x88\xbf\xe9\x97\xb4 \xe7\x82\xb9\xe8\xaf\x84 \xe6\xb5\xb7\xe6\x99\xaf\xe6\x88\xbf \xe6\xb5\xb7\xe6\x99\xaf \xe4\xbd\x8d\xe7\xbd\xae'
12,厦门第一港海边度假庄园,b'\xe7\x8e\xaf\xe5\xa2\x83 \xe6\x9c\x8d\xe5\x8a\xa1 \xe4\xb8\x8d\xe9\x94\x99 \xe8\x80\x81\xe6\x9d\xbf \xe5\xae\xa2\xe6\xa0\x88 \xe6\x88\xbf\xe9\x97\xb4 \xe5\xb9\xb2\xe5\x87\x80 \xe7\x83\xad\xe6\x83\x85 \xe9\x85\x92\xe5\xba\x97 \xe7\x89\xb9\xe5\x88\xab'
13,厦门翔鹭国际大酒店,b'\xe4\xb8\x8d\xe9\x94\x99 \xe7\x8e\xaf\xe5\xa2\x83 \xe9\x85\x92\xe5\xba\x97 \xe5\x9b\xbd\xe9\x99\x85 \xe5\xa4\xa7\xe9\x85\x92\xe5\xba\x97 \xe6\x88\xbf\xe9\x97\xb4 \xe6\x9c\x8d\xe5\x8a\xa1 \xe5\xbe\x88\xe5\xa4\xa7 \xe7\x82\xb9\xe8\xaf\x84 \xe5\xb9\xb2\xe5\x87\x80'
14,厦门金后酒店,b'\xe4\xb8\x8d\xe9\x94\x99 \xe9\x85\x92\xe5\xba\x97 \xe4\xbd\x8d\xe7\xbd\xae \xe6\x96\xb9\xe4\xbe\xbf \xe6\x88\xbf\xe9\x97\xb4 \xe7\x8e\xaf\xe5\xa2\x83 \xe4\xba\xa4\xe9\x80\x9a \xe5\x9c\xb0\xe7\x90\x86\xe4\xbd\x8d\xe7\xbd\xae \xe6\x97\xa9\xe9\xa4\x90 \xe6\x9c\x8d\xe5\x8a\xa1'
15,厦门鼓浪屿国王盒子度假屋,b'\xe4\xb8\x8d\xe9\x94\x99 \xe5\x9b\xbd\xe7\x8e\x8b \xe7\x9b\x92\xe5\xad\x90 \xe7\x8e\xaf\xe5\xa2\x83 \xe6\x88\xbf\xe9\x97\xb4 \xe7\xa0\x81\xe5\xa4\xb4 \xe6\x9c\x8d\xe5\x8a\xa1 \xe4\xbd\x8d\xe7\xbd\xae \xe4\xb8\x98\xe7\x94\xb0 \xe5\xb9\xb2\xe5\x87\x80'
16,厦门鼓浪屿漫漫悠悠旅馆,b'\xe7\x8e\xaf\xe5\xa2\x83 \xe4\xb8\x8d\xe9\x94\x99 \xe6\xbc\xab\xe6\xbc\xab \xe6\x97\x85\xe9\xa6\x86 \xe6\x88\xbf\xe9\x97\xb4 \xe6\x9c\x8d\xe5\x8a\xa1 \xe8\x80\x81\xe6\x9d\xbf \xe5\xb9\xb2\xe5\x87\x80 \xe9\xbc\x93\xe6\xb5\xaa\xe5\xb1\xbf \xe6\x97\xa9\xe9\xa4\x90'
17,厦门鼓浪屿茶语时光钢琴旅馆,b'\xe7\x8e\xaf\xe5\xa2\x83 \xe4\xb8\x8d\xe9\x94\x99 \xe8\x8c\xb6\xe8\xaf\xad \xe6\x97\xb6\xe5\x85\x89 \xe9\x92\xa2\xe7\x90\xb4 \xe6\x88\xbf\xe9\x97\xb4 \xe6\x97\x85\xe9\xa6\x86 \xe7\xa0\x81\xe5\xa4\xb4 \xe6\x9c\x8d\xe5\x8a\xa1 \xe9\xbc\x93\xe6\xb5\xaa\xe5\xb1\xbf'
18,速8酒店厦门思明南路厦大店,b'\xe4\xb8\x8d\xe9\x94\x99 \xe7\x8e\xaf\xe5\xa2\x83 \xe9\x85\x92\xe5\xba\x97 \xe6\x80\x9d\xe6\x98\x8e \xe5\xb9\xb2\xe5\x87\x80 \xe6\x96\xb9\xe4\xbe\xbf \xe6\x88\xbf\xe9\x97\xb4 \xe6\x9c\x8d\xe5\x8a\xa1 \xe4\xbd\x8d\xe7\xbd\xae \xe4\xba\xa4\xe9\x80\x9a'
